Sample	Mean read length_fastq	Mean read quality_fastq	Median read length_fastq	Median read quality_fastq	Number of reads_fastq	Read length N50_fastq	STDEV read length_fastq	Total bases_fastq	>Q10_fastq	>Q15_fastq	>Q20_fastq	>Q25_fastq	>Q30_fastq
LuthienR_Tab29_BerenF_Tab22_test	352.3	12.1	374.0	12.5	197.0	378.0	47.7	69398.0	173.0	16.0	0.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab23_test	346.5	12.3	367.0	12.7	199.0	376.0	43.3	68950.0	185.0	19.0	0.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab24_test	365.6	12.2	384.0	12.8	307.0	385.0	40.1	112226.0	282.0	24.0	0.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab25_test	373.4	11.8	384.0	12.3	159.0	384.0	31.5	59371.0	135.0	11.0	0.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab27_test	339.1	12.3	314.0	12.8	192.0	317.0	46.8	65098.0	175.0	23.0	0.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab47_test	334.0	12.6	312.0	13.0	671.0	314.0	42.4	224109.0	628.0	66.0	1.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab51_test	351.9	12.3	377.0	12.8	205.0	379.0	46.1	72133.0	193.0	20.0	0.0	0.0	0.0
LuthienR_Tab29_BerenF_Tab53_test	354.2	12.2	380.0	12.5	113.0	383.0	44.7	40024.0	107.0	9.0	0.0	0.0	0.0
LuthienR_Tab29_WaspExF_Tab1_test	479.7	11.1	489.0	11.6	106.0	489.0	35.7	50843.0	89.0	0.0	0.0	0.0	0.0
LuthienR_Tab31_BerenF_Tab24_test	308.3	13.0	309.0	13.2	103.0	309.0	4.5	31760.0	101.0	20.0	1.0	0.0	0.0
LuthienR_Tab31_BerenF_Tab47_test	309.0	13.0	309.0	13.2	115.0	309.0	4.5	35540.0	110.0	20.0	0.0	0.0	0.0
LuthienR_Tab32_BerenF_Tab24_test	309.1	13.2	310.0	13.5	461.0	310.0	4.8	142509.0	456.0	84.0	0.0	0.0	0.0
LuthienR_Tab33_BerenF_Tab23_test	309.0	13.0	310.0	13.2	119.0	310.0	4.3	36775.0	115.0	23.0	0.0	0.0	0.0
LuthienR_Tab33_BerenF_Tab25_test	309.0	13.0	310.0	13.4	465.0	310.0	8.3	143708.0	452.0	71.0	1.0	0.0	0.0
LuthienR_Tab33_BerenF_Tab47_test	320.3	12.8	311.0	13.0	229.0	311.0	87.4	73357.0	223.0	41.0	2.0	0.0	0.0
LuthienR_Tab34_BerenF_Tab47_test	310.9	12.9	310.0	13.1	133.0	310.0	16.2	41354.0	130.0	20.0	0.0	0.0	0.0
LuthienR_Tab34_BerenF_Tab53_test	307.3	13.0	311.0	13.3	206.0	311.0	22.0	63298.0	203.0	32.0	1.0	0.0	0.0
LuthienR_Tab37_BerenF_Tab22_test	308.9	12.9	309.0	13.1	162.0	309.0	4.6	50046.0	159.0	30.0	0.0	0.0	0.0
LuthienR_Tab37_BerenF_Tab23_test	308.6	13.2	309.5	13.5	114.0	310.0	4.9	35177.0	112.0	21.0	0.0	0.0	0.0
LuthienR_Tab37_BerenF_Tab51_test	305.4	12.5	308.5	12.7	102.0	309.0	24.9	31153.0	97.0	11.0	0.0	0.0	0.0
LuthienR_Tab37_BerenF_Tab53_test	309.5	12.6	310.0	12.9	108.0	310.0	4.6	33430.0	102.0	17.0	0.0	0.0	0.0
LuthienR_Tab38_BerenF_Tab47_test	311.5	13.1	310.0	13.5	178.0	310.0	13.7	55447.0	172.0	39.0	0.0	0.0	0.0
LuthienR_Tab39_BerenF_Tab22_test	307.7	12.9	310.0	13.1	104.0	310.0	14.1	31999.0	101.0	18.0	0.0	0.0	0.0
LuthienR_Tab39_BerenF_Tab24_test	309.2	13.2	310.0	13.5	156.0	310.0	4.5	48233.0	152.0	35.0	0.0	0.0	0.0
LuthienR_Tab52_BerenF_Tab22_test	308.7	13.0	309.0	13.3	216.0	309.0	4.7	66669.0	207.0	36.0	0.0	0.0	0.0
LuthienR_Tab52_BerenF_Tab47_test	310.2	13.2	309.0	13.5	331.0	309.0	11.6	102669.0	322.0	76.0	1.0	0.0	0.0
LuthienR_Tab52_BerenF_Tab51_test	307.5	12.5	308.0	12.8	392.0	309.0	11.2	120542.0	378.0	46.0	0.0	0.0	0.0
LuthienR_Tab54_BerenF_Tab22_test	309.8	13.0	310.0	13.4	166.0	310.0	4.7	51433.0	159.0	27.0	0.0	0.0	0.0
LuthienR_Tab54_BerenF_Tab23_test	310.5	13.2	311.0	13.5	102.0	311.0	4.9	31673.0	100.0	20.0	0.0	0.0	0.0
LuthienR_Tab56_BerenF_Tab22_test	309.8	13.4	310.0	13.9	112.0	310.0	4.4	34698.0	110.0	21.0	1.0	0.0	0.0
LuthienR_Tab57_BerenF_Tab22_test	309.6	13.2	310.0	13.5	133.0	310.0	4.4	41172.0	129.0	26.0	1.0	0.0	0.0
LuthienR_Tab57_BerenF_Tab23_test	310.1	12.9	311.0	13.4	132.0	311.0	5.4	40929.0	124.0	30.0	1.0	0.0	0.0
LuthienR_Tab57_BerenF_Tab24_test	309.7	12.9	310.0	13.3	454.0	310.0	4.7	140600.0	437.0	78.0	0.0	0.0	0.0
LuthienR_Tab57_BerenF_Tab47_test	314.8	12.9	310.0	13.1	123.0	310.0	47.7	38719.0	120.0	15.0	0.0	0.0	0.0
filt_test	495.3	11.0	498.0	11.3	29240.0	498.0	106.9	14481233.0	24265.0	29.0	0.0	0.0	0.0
raw_test	494.7	11.0	498.0	11.3	29300.0	498.0	107.6	14494276.0	24286.0	29.0	0.0	0.0	0.0
