Module	Section	Sample Name	Source
NanoStat	all_sections	LuthienR_Tab57_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/34/LuthienR_Tab57_BerenF_Tab22_test.txt
NanoStat	all_sections	LuthienR_Tab57_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/37/LuthienR_Tab57_BerenF_Tab47_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab25_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/7/LuthienR_Tab29_BerenF_Tab25_test.txt
NanoStat	all_sections	LuthienR_Tab37_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/21/LuthienR_Tab37_BerenF_Tab22_test.txt
NanoStat	all_sections	LuthienR_Tab37_BerenF_Tab53_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/24/LuthienR_Tab37_BerenF_Tab53_test.txt
NanoStat	all_sections	LuthienR_Tab39_BerenF_Tab24_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/27/LuthienR_Tab39_BerenF_Tab24_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab24_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/6/LuthienR_Tab29_BerenF_Tab24_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab53_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/11/LuthienR_Tab29_BerenF_Tab53_test.txt
NanoStat	all_sections	LuthienR_Tab34_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/19/LuthienR_Tab34_BerenF_Tab47_test.txt
NanoStat	all_sections	LuthienR_Tab31_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/14/LuthienR_Tab31_BerenF_Tab47_test.txt
NanoStat	all_sections	LuthienR_Tab33_BerenF_Tab25_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/17/LuthienR_Tab33_BerenF_Tab25_test.txt
NanoStat	all_sections	LuthienR_Tab56_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/33/LuthienR_Tab56_BerenF_Tab22_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab23_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/5/LuthienR_Tab29_BerenF_Tab23_test.txt
NanoStat	all_sections	LuthienR_Tab57_BerenF_Tab24_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/36/LuthienR_Tab57_BerenF_Tab24_test.txt
NanoStat	all_sections	LuthienR_Tab54_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/31/LuthienR_Tab54_BerenF_Tab22_test.txt
NanoStat	all_sections	raw_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/39/raw_test.txt
NanoStat	all_sections	LuthienR_Tab37_BerenF_Tab51_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/23/LuthienR_Tab37_BerenF_Tab51_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/4/LuthienR_Tab29_BerenF_Tab22_test.txt
NanoStat	all_sections	LuthienR_Tab39_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/26/LuthienR_Tab39_BerenF_Tab22_test.txt
NanoStat	all_sections	LuthienR_Tab52_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/29/LuthienR_Tab52_BerenF_Tab47_test.txt
NanoStat	all_sections	LuthienR_Tab31_BerenF_Tab24_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/13/LuthienR_Tab31_BerenF_Tab24_test.txt
NanoStat	all_sections	LuthienR_Tab33_BerenF_Tab23_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/16/LuthienR_Tab33_BerenF_Tab23_test.txt
NanoStat	all_sections	LuthienR_Tab54_BerenF_Tab23_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/32/LuthienR_Tab54_BerenF_Tab23_test.txt
NanoStat	all_sections	LuthienR_Tab57_BerenF_Tab23_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/35/LuthienR_Tab57_BerenF_Tab23_test.txt
NanoStat	all_sections	LuthienR_Tab52_BerenF_Tab51_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/30/LuthienR_Tab52_BerenF_Tab51_test.txt
NanoStat	all_sections	filt_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/38/filt_test.txt
NanoStat	all_sections	LuthienR_Tab37_BerenF_Tab23_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/22/LuthienR_Tab37_BerenF_Tab23_test.txt
NanoStat	all_sections	LuthienR_Tab38_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/25/LuthienR_Tab38_BerenF_Tab47_test.txt
NanoStat	all_sections	LuthienR_Tab34_BerenF_Tab53_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/20/LuthienR_Tab34_BerenF_Tab53_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/9/LuthienR_Tab29_BerenF_Tab47_test.txt
NanoStat	all_sections	LuthienR_Tab52_BerenF_Tab22_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/28/LuthienR_Tab52_BerenF_Tab22_test.txt
NanoStat	all_sections	LuthienR_Tab29_WaspExF_Tab1_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/12/LuthienR_Tab29_WaspExF_Tab1_test.txt
NanoStat	all_sections	LuthienR_Tab32_BerenF_Tab24_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/15/LuthienR_Tab32_BerenF_Tab24_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab51_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/10/LuthienR_Tab29_BerenF_Tab51_test.txt
NanoStat	all_sections	LuthienR_Tab29_BerenF_Tab27_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/8/LuthienR_Tab29_BerenF_Tab27_test.txt
NanoStat	all_sections	LuthienR_Tab33_BerenF_Tab47_test	/home/ucbtfrd/Scratch/nanoporemetabarcoding/44/938d99f1c8daef454f0c2aef518023/18/LuthienR_Tab33_BerenF_Tab47_test.txt
