Sample	Median length	Mean length	Read N50	Median Qual	Mean Qual	# Reads (K)	Total Bases (Mb)
LuthienR_Tab29_BerenF_Tab22_test	374.0	352.3	378.0	12.5	12.1	0.197	0.069398
LuthienR_Tab29_BerenF_Tab23_test	367.0	346.5	376.0	12.7	12.3	0.199	0.06895
LuthienR_Tab29_BerenF_Tab24_test	384.0	365.6	385.0	12.8	12.2	0.307	0.11222599999999999
LuthienR_Tab29_BerenF_Tab25_test	384.0	373.4	384.0	12.3	11.8	0.159	0.059371
LuthienR_Tab29_BerenF_Tab27_test	314.0	339.1	317.0	12.8	12.3	0.192	0.065098
LuthienR_Tab29_BerenF_Tab47_test	312.0	334.0	314.0	13.0	12.6	0.671	0.224109
LuthienR_Tab29_BerenF_Tab51_test	377.0	351.9	379.0	12.8	12.3	0.20500000000000002	0.072133
LuthienR_Tab29_BerenF_Tab53_test	380.0	354.2	383.0	12.5	12.2	0.113	0.040024
LuthienR_Tab29_WaspExF_Tab1_test	489.0	479.7	489.0	11.6	11.1	0.106	0.050843
LuthienR_Tab31_BerenF_Tab24_test	309.0	308.3	309.0	13.2	13.0	0.10300000000000001	0.03176
LuthienR_Tab31_BerenF_Tab47_test	309.0	309.0	309.0	13.2	13.0	0.115	0.035539999999999995
LuthienR_Tab32_BerenF_Tab24_test	310.0	309.1	310.0	13.5	13.2	0.461	0.142509
LuthienR_Tab33_BerenF_Tab23_test	310.0	309.0	310.0	13.2	13.0	0.11900000000000001	0.036774999999999995
LuthienR_Tab33_BerenF_Tab25_test	310.0	309.0	310.0	13.4	13.0	0.465	0.143708
LuthienR_Tab33_BerenF_Tab47_test	311.0	320.3	311.0	13.0	12.8	0.229	0.07335699999999999
LuthienR_Tab34_BerenF_Tab47_test	310.0	310.9	310.0	13.1	12.9	0.133	0.041353999999999995
LuthienR_Tab34_BerenF_Tab53_test	311.0	307.3	311.0	13.3	13.0	0.20600000000000002	0.063298
LuthienR_Tab37_BerenF_Tab22_test	309.0	308.9	309.0	13.1	12.9	0.162	0.050046
LuthienR_Tab37_BerenF_Tab23_test	309.5	308.6	310.0	13.5	13.2	0.114	0.035177
LuthienR_Tab37_BerenF_Tab51_test	308.5	305.4	309.0	12.7	12.5	0.10200000000000001	0.031153
LuthienR_Tab37_BerenF_Tab53_test	310.0	309.5	310.0	12.9	12.6	0.108	0.03343
LuthienR_Tab38_BerenF_Tab47_test	310.0	311.5	310.0	13.5	13.1	0.178	0.055446999999999996
LuthienR_Tab39_BerenF_Tab22_test	310.0	307.7	310.0	13.1	12.9	0.10400000000000001	0.031999
LuthienR_Tab39_BerenF_Tab24_test	310.0	309.2	310.0	13.5	13.2	0.156	0.048233
LuthienR_Tab52_BerenF_Tab22_test	309.0	308.7	309.0	13.3	13.0	0.216	0.06666899999999999
LuthienR_Tab52_BerenF_Tab47_test	309.0	310.2	309.0	13.5	13.2	0.331	0.102669
LuthienR_Tab52_BerenF_Tab51_test	308.0	307.5	309.0	12.8	12.5	0.392	0.120542
LuthienR_Tab54_BerenF_Tab22_test	310.0	309.8	310.0	13.4	13.0	0.166	0.051433
LuthienR_Tab54_BerenF_Tab23_test	311.0	310.5	311.0	13.5	13.2	0.10200000000000001	0.031673
LuthienR_Tab56_BerenF_Tab22_test	310.0	309.8	310.0	13.9	13.4	0.112	0.034698
LuthienR_Tab57_BerenF_Tab22_test	310.0	309.6	310.0	13.5	13.2	0.133	0.041172
LuthienR_Tab57_BerenF_Tab23_test	311.0	310.1	311.0	13.4	12.9	0.132	0.040929
LuthienR_Tab57_BerenF_Tab24_test	310.0	309.7	310.0	13.3	12.9	0.454	0.1406
LuthienR_Tab57_BerenF_Tab47_test	310.0	314.8	310.0	13.1	12.9	0.123	0.038718999999999996
filt_test	498.0	495.3	498.0	11.3	11.0	29.240000000000002	14.481233
raw_test	498.0	494.7	498.0	11.3	11.0	29.3	14.494276
