Sample	Reads Q20-25	Reads Q15-20	Reads Q10-15	Reads <Q10
LuthienR_Tab29_BerenF_Tab22_test	0.0	16.0	157.0	24.0
LuthienR_Tab29_BerenF_Tab23_test	0.0	19.0	166.0	14.0
LuthienR_Tab29_BerenF_Tab24_test	0.0	24.0	258.0	25.0
LuthienR_Tab29_BerenF_Tab25_test	0.0	11.0	124.0	24.0
LuthienR_Tab29_BerenF_Tab27_test	0.0	23.0	152.0	17.0
LuthienR_Tab29_BerenF_Tab47_test	1.0	65.0	562.0	43.0
LuthienR_Tab29_BerenF_Tab51_test	0.0	20.0	173.0	12.0
LuthienR_Tab29_BerenF_Tab53_test	0.0	9.0	98.0	6.0
LuthienR_Tab29_WaspExF_Tab1_test	0.0	0.0	89.0	17.0
LuthienR_Tab31_BerenF_Tab24_test	1.0	19.0	81.0	2.0
LuthienR_Tab31_BerenF_Tab47_test	0.0	20.0	90.0	5.0
LuthienR_Tab32_BerenF_Tab24_test	0.0	84.0	372.0	5.0
LuthienR_Tab33_BerenF_Tab23_test	0.0	23.0	92.0	4.0
LuthienR_Tab33_BerenF_Tab25_test	1.0	70.0	381.0	13.0
LuthienR_Tab33_BerenF_Tab47_test	2.0	39.0	182.0	6.0
LuthienR_Tab34_BerenF_Tab47_test	0.0	20.0	110.0	3.0
LuthienR_Tab34_BerenF_Tab53_test	1.0	31.0	171.0	3.0
LuthienR_Tab37_BerenF_Tab22_test	0.0	30.0	129.0	3.0
LuthienR_Tab37_BerenF_Tab23_test	0.0	21.0	91.0	2.0
LuthienR_Tab37_BerenF_Tab51_test	0.0	11.0	86.0	5.0
LuthienR_Tab37_BerenF_Tab53_test	0.0	17.0	85.0	6.0
LuthienR_Tab38_BerenF_Tab47_test	0.0	39.0	133.0	6.0
LuthienR_Tab39_BerenF_Tab22_test	0.0	18.0	83.0	3.0
LuthienR_Tab39_BerenF_Tab24_test	0.0	35.0	117.0	4.0
LuthienR_Tab52_BerenF_Tab22_test	0.0	36.0	171.0	9.0
LuthienR_Tab52_BerenF_Tab47_test	1.0	75.0	246.0	9.0
LuthienR_Tab52_BerenF_Tab51_test	0.0	46.0	332.0	14.0
LuthienR_Tab54_BerenF_Tab22_test	0.0	27.0	132.0	7.0
LuthienR_Tab54_BerenF_Tab23_test	0.0	20.0	80.0	2.0
LuthienR_Tab56_BerenF_Tab22_test	1.0	20.0	89.0	2.0
LuthienR_Tab57_BerenF_Tab22_test	1.0	25.0	103.0	4.0
LuthienR_Tab57_BerenF_Tab23_test	1.0	29.0	94.0	8.0
LuthienR_Tab57_BerenF_Tab24_test	0.0	78.0	359.0	17.0
LuthienR_Tab57_BerenF_Tab47_test	0.0	15.0	105.0	3.0
filt_test	0.0	29.0	24236.0	4975.0
raw_test	0.0	29.0	24257.0	5014.0
