task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	4b/c191ca	2441881	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:BLAST_MAKEBLASTDB (database)	CACHED	0	2025-06-06 11:08:06.225	31m 23s	16m 42s	68.6%	2 GB	4.8 GB	10.8 GB	5.2 GB
2	24/435d47	2406606	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:NANOFILT (test)	CACHED	0	2025-05-30 12:17:43.636	5m 6s	12s	88.7%	54.9 MB	143.8 MB	120.4 MB	90.6 MB
1	fd/d1beca	2427912	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CUTADAPT_F (test)	CACHED	0	2025-06-03 15:45:02.866	5m 11s	42.3s	11.9%	51.5 MB	1.3 GB	105.5 MB	90.2 MB
3	7b/519c52	2427917	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:NANOPLOT (raw_test)	CACHED	0	2025-06-03 15:46:42.325	4m 32s	32.3s	102.4%	253.8 MB	1.4 GB	84.2 MB	2.2 MB
5	f5/9c36f5	2427923	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_REVCOMP_A (unknown_test)	CACHED	0	2025-06-03 15:50:17.001	4m 7s	7s	45.5%	22.3 MB	1.2 GB	38.7 MB	37.3 MB
6	5f/1a7a15	2427928	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CUTADAPT_F_RC (unknown_test)	CACHED	0	2025-06-03 15:54:24.335	7m 40s	1m 11s	9.7%	107.9 MB	2.5 GB	68.7 MB	63.6 MB
7	71/a3d476	2427918	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:NANOPLOT (filt_test)	CACHED	0	2025-06-03 15:46:42.574	4m 32s	32.3s	93.1%	255.2 MB	1.4 GB	73.3 MB	2.2 MB
12	1a/b71dc4	2427936	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab27_test)	CACHED	0	2025-06-03 16:02:16.832	7m 47s	12s	0.3%	1.9 MB	22.1 MB	655.7 KB	598.9 KB
9	7f/f8670b	2427934	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab23_test)	CACHED	0	2025-06-03 16:02:16.656	7m 28s	7s	0.4%	1.9 MB	22.1 MB	756.3 KB	699.7 KB
10	9f/c9226c	2427937	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab24_test)	CACHED	0	2025-06-03 16:02:16.923	7m 32s	6s	0.9%	1.9 MB	22.1 MB	1.5 MB	1.4 MB
11	c4/da3daf	2427933	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab25_test)	CACHED	0	2025-06-03 16:02:16.573	7m 18s	3s	1.2%	1.9 MB	22.1 MB	854.8 KB	798.2 KB
13	0d/c3f695	2427935	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab47_test)	CACHED	0	2025-06-03 16:02:16.745	7m 53s	12s	0.5%	1.9 MB	22.1 MB	1.8 MB	1.7 MB
8	f0/939ece	2427938	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab22_test)	CACHED	0	2025-06-03 16:02:17.015	7m 7s	0ms	56.0%	1.4 MB	15.5 MB	1 MB	1013.3 KB
17	7e/f705a3	2427940	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab53_test)	CACHED	0	2025-06-03 16:02:17.190	7m 7s	0ms	47.7%	1.4 MB	15.5 MB	736.8 KB	680 KB
24	60/74fab1	2427943	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (WaspExF_Tab4_test)	CACHED	0	2025-06-03 16:02:17.480	7m 42s	8s	0.5%	1.9 MB	22.1 MB	57.1 KB	480 B
21	38/6ba4ea	2427941	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (WaspExF_Tab2_test)	CACHED	0	2025-06-03 16:02:17.290	7m 47s	9s	0.3%	1.9 MB	22.1 MB	57.9 KB	479 B
22	fd/33dfa3	2427944	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (WaspExF_Tab3_test)	CACHED	0	2025-06-03 16:02:17.566	7m 42s	10s	0.4%	1.9 MB	22.1 MB	57 KB	479 B
19	2a/b3dfd8	2427942	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (WaspExF_Tab1_test)	CACHED	0	2025-06-03 16:02:17.391	7m 47s	12s	0.4%	1.9 MB	22.1 MB	386.8 KB	330.5 KB
14	36/e93788	2427939	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:CAT_CAT (BerenF_Tab51_test)	CACHED	0	2025-06-03 16:02:17.104	7m 7s	0ms	52.9%	1.1 MB	11 MB	888.5 KB	831.7 KB
18	7b/298d2c	2428125	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_REVCOMP_B (BerenF_Tab47_test)	CACHED	0	2025-06-03 16:35:46.283	7m 14s	1s	101.5%	2.4 MB	27 MB	6.2 MB	5.9 MB
16	52/6d267d	2428128	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_REVCOMP_B (BerenF_Tab22_test)	CACHED	0	2025-06-03 16:35:46.558	7m 13s	3s	11.7%	19.6 MB	1.2 GB	3.5 MB	3.3 MB
