id,primer_comb,sample
woodland,F1_WaspExF_Tab1_R1_LuthienR_Tab29,EXT_NEG_F1_R1
woodland,F2_WaspExF_Tab2_R1_LuthienR_Tab29,WD_wasp01
woodland,F3_WaspExF_Tab3_R1_LuthienR_Tab29,WD_wasp02
woodland,F1_WaspExF_Tab1_R2_LuthienR_Tab54,WD_wasp03
woodland,F2_WaspExF_Tab2_R2_LuthienR_Tab54,POS_CON_F2_R2
woodland,F3_WaspExF_Tab3_R2_LuthienR_Tab54,BLANK_F3_R2
grassland,F1_WaspExF_Tab1_R1_LuthienR_Tab29,EXT_NEG_F1_R1
grassland,F2_WaspExF_Tab2_R1_LuthienR_Tab29,MW_wasp01
grassland,F3_WaspExF_Tab3_R1_LuthienR_Tab29,MW_wasp02
grassland,F1_WaspExF_Tab1_R2_LuthienR_Tab54,MW_wasp03
grassland,F2_WaspExF_Tab2_R2_LuthienR_Tab54,POS_CON_F2_R2
grassland,F3_WaspExF_Tab3_R2_LuthienR_Tab54,BLANK_F3_R2
